GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
47157021312,Tennessee,Shelby ,2019,2098,1186,0.2197,0.4929,43.2,0.0582,0.0,0.0539,0.0329,0.589,0.411,0.0919,0.5097,0.0408,0.0793,0.2917,46136.0,0.019,0.0881,0.0,0.6206,1.77,0.0,0.0371,0.1728,0.0582,0.0173,0.0553,0.1463,0.1036,1004,258100,-2.0005632594748746,-0.1800411417306903,-0.1820487272408237,-0.2933597693205121,-1.3897371783469215,0.04462355716407336,-0.2684000453827729
47157021320,Tennessee,Shelby ,2019,6157,2540,0.2714,0.567,41.9,0.2735,0.0,0.0084,0.011,0.5058,0.4942,0.1701,0.5003,0.0625,0.1571,0.3465,52423.0,0.0468,0.1145,0.0,0.4614,2.36,0.0176,0.076,0.2031,0.0329,0.0063,0.0977,0.113,0.0686,996,319700,-0.5950561036072577,0.132712118808718,0.49727248105580746,-0.7539103158553802,-1.6043709437410045,1.1332405561246015,0.04422241376974574
47157021331,Tennessee,Shelby ,2019,3126,1318,0.247,0.5576,45.6,0.3292,0.0,0.0061,0.0342,0.3842,0.6158,0.1593,0.5642,0.0389,0.0205,0.3892,38390.0,0.0495,0.1498,0.0,0.1168,2.37,0.0,0.0432,0.1335,0.0601,0.0149,0.0934,0.1446,0.0639,1206,156100,1.323767671524684,-0.5619300157248218,0.4537135719346485,-0.4143190947286615,-0.1415998097672804,1.9879030198107992,-0.06566983896015621
47157021333,Tennessee,Shelby ,2019,4919,1635,0.1921,0.4733,32.8,0.5578,0.0,0.048,0.0407,0.3875,0.6125,0.1847,0.4876,0.0292,0.0459,0.2391,31411.0,0.0037,0.2122,0.0,0.3578,3.01,0.0085,0.0422,0.156,0.0738,0.0483,0.0704,0.0834,0.0742,956,183400,-1.7398938396900032,-0.19387779919582035,-1.3253645747844656,-0.0962293154150927,-0.5131995825046011,0.3887774322099764,-0.46598283486779224
47157021334,Tennessee,Shelby ,2019,4388,1764,0.2418,0.5485,34.1,0.7176,0.0,0.0419,0.0059,0.2427,0.7573,0.2239,0.5072,0.0497,0.0283,0.148,26698.0,0.0362,0.1018,0.0,0.7806,2.36,0.0,0.0159,0.2069,0.1417,0.0258,0.135,0.123,0.0622,985,146900,-0.03158923996287433,0.2891683838765425,-1.062854503502785,-0.14503125430274147,-0.4966382153746131,1.3837663493407228,-0.11848671456221854
47157021341,Tennessee,Shelby ,2019,5215,1974,0.2934,0.5233,45.4,0.0322,0.0021,0.0583,0.0155,0.8809,0.1191,0.0279,0.4446,0.0365,0.2771,0.3465,60620.0,0.0227,0.0528,0.0,0.1829,2.62,0.0058,0.0897,0.2057,0.0251,0.0222,0.0388,0.0917,0.0445,.,383900,-2.9997128351030926,-0.1788893092492143,1.1067191962014635,-0.3553773660639722,-3.2377996664481508,-0.33436568954321916,-0.08955351467585287
47157021342,Tennessee,Shelby ,2019,10798,4925,0.1632,0.4794,37.5,0.3753,0.0,0.0736,0.042,0.888,0.112,0.0437,0.4662,0.0397,0.1369,0.2171,57969.0,0.0497,0.0892,0.0,0.625,2.19,0.0,0.0,0.1738,0.1203,0.0415,0.0636,0.0821,0.0332,1095,308100,-4.02672573599218,-0.1384902758467109,-1.004202121100859,0.029302046850058147,-2.134116360595468,-0.7792190252992002,-0.5317830176070832
47157021351,Tennessee,Shelby ,2019,4590,1904,0.3322,0.5362,42.3,0.0477,0.0,0.1804,0.0087,0.836,0.164,0.0825,0.4962,0.0182,0.1612,0.386,52324.0,0.0056,0.048,0.0,0.2847,2.38,0.0,0.0394,0.1959,0.0203,0.0721,0.0379,0.1232,0.129,1336,253700,-0.9491435188772679,-0.20714053342371608,1.6203653929259594,0.843391732121154,-3.5079372255347927,0.3021771150341277,0.2345568547442051
47157021352,Tennessee,Shelby ,2019,6081,2322,0.3014,0.4534,45.8,0.0061,0.0002,0.0164,0.0,0.9498,0.0502,0.0426,0.4716,0.0097,0.2028,0.3669,54924.0,0.0,0.0842,0.0032,0.0909,2.62,0.0,0.0069,0.0771,0.0253,0.0058,0.0067,0.0733,0.0437,1992,323200,-3.4372431639084207,-1.0161465713291196,0.5322222154604278,-0.7155660967593388,-1.8843657378456224,-0.3533869734347681,-0.5746878019329569
47157021353,Tennessee,Shelby ,2019,9572,3188,0.2088,0.5212,46.5,0.0148,0.002,0.0672,0.016,0.9306,0.0694,0.0295,0.3943,0.01,0.4316,0.2902,80134.0,0.0854,0.0542,0.0,0.0154,3.0,0.0038,0.0,0.1145,0.0194,0.0227,0.0207,0.0632,0.0034,.,498100,-5.171016885752008,-0.29634507225176987,0.6716888432382915,-0.7356103324180098,-3.6730775352502887,-1.137672789070231,-0.3996500701388578
47157021410,Tennessee,Shelby ,2019,2961,1141,0.2948,0.5366,42.8,0.0162,0.0,0.0118,0.0041,0.8806,0.1194,0.0947,0.4882,0.0352,0.1621,0.3401,54591.0,0.0159,0.0599,0.0135,0.1578,2.6,0.0108,0.0079,0.0982,0.0149,0.0095,0.0223,0.0821,0.05,1490,274300,-2.0433382651329692,-1.0722869174947254,0.47601738478105504,-0.6883534646882123,-1.4223818626269116,0.663666594895825,-0.5089640792394273
47157021420,Tennessee,Shelby ,2019,2976,1284,0.2866,0.5323,46.9,0.0239,0.0,0.0282,0.0218,0.9106,0.0894,0.0755,0.5144,0.0061,0.1822,0.3995,55274.0,0.0261,0.0791,0.0262,0.1402,2.32,0.0,0.0164,0.1051,0.0222,0.0143,0.0679,0.0803,0.0273,1429,292300,-1.7967777475775215,-0.9600674383535317,0.802752097673686,-0.549600574563447,-1.7088307210260607,0.6189688886918316,-0.3745295503329043
47157021430,Tennessee,Shelby ,2019,4329,1652,0.2841,0.5269,42.9,0.0236,0.0,0.0444,0.0557,0.8549,0.1451,0.0835,0.4559,0.0377,0.1447,0.4038,49530.0,0.0222,0.1203,0.0042,0.2022,2.62,0.0,0.0097,0.132,0.0514,0.0455,0.0162,0.1135,0.0923,1097,259500,-0.8342409100473716,-0.7701225819815682,0.9286465763370422,0.35597300805329946,-1.6864722249815247,0.33773431252537983,-0.14091564436079293
47157021510,Tennessee,Shelby ,2019,8649,3503,0.1651,0.5455,36.0,0.7078,0.0,0.0837,0.0391,0.6071,0.3929,0.1935,0.5424,0.066,0.0368,0.1947,34662.0,0.0242,0.1466,0.0,0.4856,2.47,0.0,0.0365,0.1947,0.0942,0.023,0.0705,0.0793,0.0887,1115,193200,-1.1466484757857083,-0.1011726801247585,-1.2222887808933818,-0.08771160598375033,-0.8712187842800171,1.1357433754961994,-0.37073385023187033
47157021520,Tennessee,Shelby ,2019,13787,5222,0.2122,0.5401,36.6,0.2803,0.0,0.1961,0.0212,0.95,0.05,0.0314,0.4442,0.0197,0.1057,0.2298,47785.0,0.0163,0.0788,0.0098,0.428,2.64,0.0,0.0236,0.1542,0.048,0.0525,0.0237,0.086,0.0611,1403,348700,-3.288277801865772,-0.4123636147900128,-0.21457533601319662,0.6828263588906978,-2.969326876441297,-0.3748383335119635,-0.3793615392035786
47157021530,Tennessee,Shelby ,2019,5464,1932,0.2141,0.5275,43.4,0.0602,0.0,0.0968,0.0,0.9019,0.0981,0.0342,0.4784,0.0168,0.2852,0.2635,65011.0,0.0219,0.0655,0.0047,0.1258,2.83,0.006,0.0109,0.1071,0.0179,0.0122,0.0123,0.0679,0.0272,1353,355600,-4.539359944424733,-0.6863271134147898,0.14870992479997205,-0.598247899308586,-3.136168559370936,-0.26732629713039424,-0.5965278989732743
47157021540,Tennessee,Shelby ,2019,12464,4011,0.1615,0.5097,40.5,0.0406,0.0048,0.1148,0.027,0.9542,0.0458,0.0636,0.4292,0.0201,0.3288,0.2009,57223.0,0.0122,0.1084,0.0064,0.1558,3.11,0.0,0.0282,0.1045,0.0254,0.0446,0.0159,0.0705,0.0121,1346,406900,-5.381813533507338,-0.575772679917726,-0.42215425673868023,-0.1420881671073988,-3.2763458907875007,-0.9654525389560319,-0.6905662096716878
47157021611,Tennessee,Shelby ,2019,6613,2149,0.2032,0.4918,40.6,0.0928,0.0175,0.0184,0.0484,0.6528,0.3472,0.1159,0.4625,0.0878,0.1028,0.2499,36583.0,0.0165,0.141,0.0,0.1652,3.03,0.0,0.0074,0.1135,0.0449,0.0113,0.0981,0.1132,0.0,1220,243200,-2.1312932328560588,-0.8487821699069421,-0.6584372077463463,-0.30223437687934523,-0.5033567506642314,0.18151727234080572,-0.6234047624559125
47157021612,Tennessee,Shelby ,2019,4605,1577,0.2054,0.5179,40.3,0.0113,0.0,0.0059,0.0017,0.8396,0.1604,0.045,0.4551,0.0329,0.1103,0.2594,48091.0,0.0272,0.1297,0.0111,0.0507,2.92,0.0,0.0,0.0583,0.0531,0.0035,0.0081,0.0921,0.0,1500,255300,-3.060662226106367,-1.261668575573735,-0.5935170946523082,-0.7248541120876361,-0.6503188787825375,0.16969643498984935,-0.863598375415122
47157021613,Tennessee,Shelby ,2019,4906,1509,0.171,0.5022,35.3,0.054,0.0,0.0758,0.0412,0.8839,0.1161,0.0742,0.4548,0.0395,0.0901,0.2187,37213.0,0.0325,0.1548,0.004,0.0398,3.25,0.0225,0.0033,0.1127,0.0143,0.0252,0.0279,0.055,0.0,1189,269400,-3.5424172556050046,-1.2045140642280392,-1.1954549577002036,-0.18513999964048622,-0.9040331838097747,-0.053275050226501114,-0.9535339197202634
47157021620,Tennessee,Shelby ,2019,3186,1128,0.204,0.5515,41.3,0.5119,0.0,0.0198,0.011,0.3648,0.6352,0.2145,0.5168,0.1276,0.0842,0.3582,34325.0,0.0405,0.2129,0.0,0.5239,2.82,0.0076,0.0913,0.2553,0.0778,0.0087,0.1673,0.1601,0.0489,996,181600,0.6254935645508649,0.5914522434503587,-0.029203390486037276,-0.46699570956118086,-0.6521562304120108,1.182396651559735,0.22151513588122523
47157021710,Tennessee,Shelby ,2019,3119,1355,0.1654,0.5438,26.9,0.9317,0.0,0.0,0.0298,0.0991,0.9009,0.3166,0.4959,0.1397,0.0,0.1882,17650.0,0.0936,0.2687,0.0,0.8406,2.3,0.0,0.1712,0.4369,0.1385,0.0143,0.37,0.0539,0.0838,876,81700,0.33244729219180746,1.9795808863020425,-1.945398286664447,-0.6273363034347959,-0.06042888753347718,0.986029883522485,0.333992711824542
47157021721,Tennessee,Shelby ,2019,4407,1970,0.1693,0.5507,29.2,0.907,0.0129,0.015,0.0454,0.2715,0.7285,0.2721,0.5939,0.1035,0.0,0.1563,18509.0,0.0833,0.2526,0.0,0.8802,2.24,0.0,0.0893,0.435,0.1874,0.0547,0.2537,0.0721,0.1771,854,92700,1.2976733270193113,1.4633132321614395,-1.7323353235137242,0.008875610932220591,0.010155819304917635,1.5476639881344578,0.2965721348324151
47157021724,Tennessee,Shelby ,2019,2191,918,0.1178,0.5276,34.1,0.8649,0.0,0.0,0.1077,0.4621,0.5379,0.268,0.5305,0.1619,0.0054,0.1754,22942.0,0.0818,0.1701,0.0,0.7222,2.39,0.0,0.0392,0.3246,0.1178,0.0404,0.1787,0.0899,0.0802,1082,93900,-0.05201144853924422,0.5827981559542186,-1.9626578502203738,-0.03743182101455949,0.34246981304413127,1.0228102536973391,-0.17701487587741255
47157021725,Tennessee,Shelby ,2019,4605,2277,0.1134,0.5922,27.7,0.8699,0.0,0.0037,0.0625,0.3032,0.6968,0.2161,0.631,0.0903,0.0075,0.0619,20961.0,0.0841,0.1965,0.0052,0.9829,2.02,0.0,0.065,0.3557,0.2313,0.032,0.159,0.048,0.1783,855,73500,0.5202973777661077,0.9146714615494888,-2.4489047356434446,-0.18224985618043962,0.3492524480988027,1.8875280599417006,-0.12113795144745196
