GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
13067030902,Georgia,Cobb ,2019,6003,2314,0.2077,0.4576,35.7,0.1994,0.0135,0.0,0.3988,0.6549,0.3451,0.1206,0.4272,0.3322,0.1111,0.2969,32549.0,0.0434,0.1128,0.0377,0.503,2.59,0.0262,0.1374,0.1893,0.2935,0.3222,0.1006,0.1079,0.0688,843,258000,2.3603836504331066,-0.16463805000888884,0.4270802017244056,3.198726532765182,-0.4273587275955375,-0.6734263064520544,0.506141225652202
13067030904,Georgia,Cobb ,2019,7332,2557,0.186,0.5338,32.0,0.4491,0.0,0.0162,0.2709,0.5302,0.4698,0.2409,0.5218,0.2251,0.0,0.1748,18158.0,0.0563,0.2357,0.0,0.5831,2.87,0.0406,0.1134,0.3117,0.2143,0.1663,0.2571,0.095,0.0904,1064,149000,2.3744894673424777,0.46015625780019964,-0.6441055332799378,1.6086547526508734,0.06125473842618434,0.8885292517451581,0.38324681854021625
13067030905,Georgia,Cobb ,2019,8700,2153,0.0991,0.4262,31.9,0.4144,0.0,0.0107,0.3299,0.5963,0.4037,0.1858,0.4533,0.1946,0.0279,0.2127,24581.0,0.0486,0.1612,0.0,0.2369,2.99,0.0939,0.059,0.183,0.2755,0.1244,0.1433,0.1023,0.0142,1332,164900,-0.17925041792334634,-0.4607826320527652,-1.4499129154210237,1.2646748420936067,0.7870100426251453,-0.3202397551683093,-0.3069754167288204
13067031001,Georgia,Cobb ,2019,5366,1887,0.1094,0.4586,28.2,0.23,0.0069,0.0024,0.5492,0.3618,0.6382,0.2448,0.369,0.3763,0.0,0.1203,14130.0,0.0898,0.2197,0.0,0.7562,2.83,0.0976,0.1505,0.3953,0.4271,0.2672,0.3398,0.1324,0.088,947,95400,3.1739684042256697,1.168829603611213,-0.9494836798202305,3.681136329394107,0.30627761901763206,-1.0327914679770518,0.8564189959235093
13067031002,Georgia,Cobb ,2019,9392,3279,0.1754,0.525,29.8,0.3289,0.0038,0.026,0.4448,0.3958,0.6042,0.2803,0.4276,0.3449,0.0043,0.2181,17287.0,0.066,0.2167,0.0,0.7313,2.8,0.0179,0.1427,0.3602,0.4399,0.2919,0.1835,0.1313,0.0967,987,159600,4.957647776187654,0.7760872372061943,-0.07904481912760408,3.8723092082407655,-0.08908655016760961,0.47738270003590755,1.010772085391807
13067031004,Georgia,Cobb ,2019,8313,3001,0.1575,0.5005,32.6,0.4458,0.0,0.0113,0.3359,0.3145,0.6855,0.2386,0.4321,0.2832,0.0113,0.2516,21152.0,0.0607,0.1811,0.0,0.6858,2.77,0.0,0.105,0.2456,0.2674,0.1856,0.1921,0.1452,0.0539,1010,124300,2.4815245981675345,0.4556331588053149,-0.46212918843175294,2.0977146134752775,0.13413423573594008,0.2561717785827548,0.4720319798617071
13067031005,Georgia,Cobb ,2019,5122,1637,0.1538,0.5172,37.4,0.3315,0.0029,0.0799,0.3296,0.6274,0.3726,0.1674,0.4456,0.193,0.0159,0.2224,24424.0,0.0471,0.2001,0.0,0.2541,3.12,0.0196,0.0373,0.1307,0.3135,0.1365,0.1429,0.0945,0.0855,1167,155900,1.7339616761351646,-0.5716315753853621,-0.4312056009557112,2.0058603179233523,0.1946473892003999,0.5362911453524857,0.04120693366315009
13067031101,Georgia,Cobb ,2019,6146,2107,0.1754,0.4398,30.7,0.1804,0.002,0.0329,0.4758,0.7757,0.2243,0.1139,0.4274,0.2678,0.0655,0.1595,29766.0,0.0446,0.1445,0.0,0.5785,2.89,0.0,0.0883,0.2207,0.2797,0.1964,0.2387,0.0792,0.103,1041,227500,0.5070953417827917,0.07193733707972444,-0.688998531690442,2.540911678812689,-0.39812931778941674,-1.018625824629763,0.19639598763637242
13067031106,Georgia,Cobb ,2019,8628,3171,0.2069,0.5637,39.6,0.4126,0.0,0.0613,0.172,0.7485,0.2515,0.1785,0.558,0.094,0.0829,0.2706,36778.0,0.0414,0.1303,0.0,0.2545,2.7,0.0312,0.0328,0.099,0.1771,0.1322,0.0461,0.098,0.0477,1136,193100,1.265953656854629,-1.0053506530785383,-0.0007015570836040241,0.9114265746642185,-0.3360797223553872,1.6966590147079401,-0.1873626440842116
13067031108,Georgia,Cobb ,2019,5190,2637,0.1713,0.5547,35.3,0.4484,0.0029,0.0235,0.0859,0.5519,0.4481,0.1722,0.5176,0.0383,0.0493,0.157,41750.0,0.0364,0.1589,0.0056,0.5275,1.97,0.0107,0.0595,0.1748,0.117,0.056,0.0742,0.11,0.1186,1113,162200,-0.9707625905043571,-0.1850150559999312,-0.8023902322936812,-0.34582925691068545,-0.39651480399335154,0.7589867586932921,-0.3161847352693611
13067031110,Georgia,Cobb ,2019,3241,1368,0.2154,0.4801,33.9,0.0895,0.0,0.0398,0.2308,0.7112,0.2888,0.1206,0.4933,0.0763,0.1338,0.1374,45939.0,0.0199,0.1692,0.0,0.3728,2.37,0.0,0.0512,0.1082,0.1537,0.1315,0.1197,0.0802,0.0916,1174,261500,-1.3210562773121788,-0.5470248900823467,-0.5594876606626893,0.7495082794716197,-0.8103921028886185,-0.15365990315014408,-0.3192681273161209
13067031111,Georgia,Cobb ,2019,3745,1959,0.1527,0.4996,38.3,0.3704,0.0,0.0585,0.0195,0.5774,0.4226,0.0878,0.4952,0.0146,0.0955,0.1419,61362.0,0.0569,0.1194,0.0,0.3088,1.91,0.0,0.0097,0.1286,0.1529,0.0073,0.0737,0.0715,0.0476,1281,192800,-3.202252711007362,-0.49723142184736574,-1.0278288967809122,-0.8427382793639677,-0.7857268841879615,-0.048727228827155,-0.6788921066174651
13067031112,Georgia,Cobb ,2019,5932,2378,0.2107,0.5064,35.6,0.2133,0.0,0.0836,0.0349,0.7772,0.2228,0.095,0.4919,0.0141,0.2351,0.2132,60237.0,0.0157,0.0563,0.0122,0.291,2.48,0.0,0.0227,0.0955,0.0,0.0367,0.0034,0.0487,0.0715,1255,358300,-3.9670535624722745,-0.9071310482466083,-0.5173746254445556,-0.9020956723598486,-1.4765221783291094,-0.16393003809215265,-0.8000059398985165
13067031113,Georgia,Cobb ,2019,1411,744,0.0666,0.4748,29.8,0.63,0.0,0.0035,0.1836,0.5122,0.4878,0.0981,0.501,0.0505,0.0242,0.0336,34247.0,0.0181,0.1654,0.0,0.8454,1.9,0.0,0.1075,0.1707,0.2131,0.0786,0.1602,0.0442,0.1004,988,276000,-2.8658147015346644,0.31743299088721794,-2.3697563582759766,-0.10690096876948914,-0.16945147340159425,-0.5371388919748221,-0.5197786397406647
13067031114,Georgia,Cobb ,2019,7511,3692,0.1289,0.4986,32.2,0.3581,0.0188,0.104,0.266,0.7883,0.2117,0.0696,0.475,0.1268,0.0038,0.0975,31131.0,0.078,0.2111,0.0,0.7998,2.03,0.0,0.0214,0.2424,0.242,0.1447,0.1483,0.0594,0.1039,1237,189400,-0.899338900492708,0.1477306869537495,-1.4152753639883775,1.2655394132684363,-0.5464876252698343,-0.35084601145668215,-0.13521331261374742
13067031115,Georgia,Cobb ,2019,4690,1720,0.2009,0.5821,36.4,0.3482,0.0026,0.0256,0.2712,0.6561,0.3439,0.1901,0.5447,0.1331,0.0471,0.3023,35396.0,0.0428,0.1736,0.0,0.318,2.73,0.0057,0.0285,0.1709,0.2045,0.0893,0.1399,0.1303,0.107,1206,183200,2.255464210684913,-0.5660407084870819,0.12936061675383587,1.1510319057648124,-0.09279107642887773,1.6339034730822246,0.09104481753243224
13067031116,Georgia,Cobb ,2019,4387,1761,0.1286,0.4732,38.3,0.2847,0.0,0.0599,0.3946,0.6621,0.3379,0.1562,0.5091,0.2216,0.0244,0.109,25261.0,0.1051,0.1763,0.0,0.4986,2.49,0.0149,0.092,0.2953,0.2225,0.1674,0.1306,0.1069,0.1775,1100,145100,0.6473594584476976,0.3689196528116572,-0.707611855531746,1.7129461714437109,-0.3581224392037473,-0.3687720710721771,0.22675999741740271
13067031117,Georgia,Cobb ,2019,6131,2238,0.222,0.5009,37.7,0.2523,0.0,0.0289,0.1078,0.8344,0.1656,0.1005,0.4283,0.0653,0.1014,0.2627,37956.0,0.0247,0.1223,0.0,0.2283,2.74,0.0038,0.013,0.0974,0.1083,0.0644,0.0475,0.086,0.0537,1287,272500,-1.5320357576919141,-1.0298071589484752,-0.2852434630429848,0.054934226331003685,-0.3906438873301356,0.11872452529867776,-0.5302222307005278
13067031118,Georgia,Cobb ,2019,6169,2412,0.1751,0.5688,35.8,0.3343,0.0,0.0836,0.0324,0.7711,0.2289,0.1683,0.4837,0.0112,0.097,0.2347,39923.0,0.0348,0.1044,0.0,0.3437,2.51,0.0084,0.0597,0.2541,0.0841,0.0289,0.0823,0.0995,0.0748,1461,313600,-1.5062998695015755,-0.39762222289712457,-0.5336115451597732,-0.4779479676661154,-0.8526874044646219,0.7555692706860596,-0.3988160018465728
13067031205,Georgia,Cobb ,2019,6588,2865,0.1856,0.5501,33.2,0.417,0.0,0.0386,0.0639,0.6221,0.3779,0.1791,0.528,0.0034,0.1442,0.1497,50774.0,0.0329,0.1221,0.0,0.4754,2.3,0.0,0.0335,0.1487,0.0712,0.0179,0.0672,0.0557,0.087,1253,290000,-2.3867484060431967,-0.41940597865876245,-1.0027717509009149,-0.8087902601747605,-0.8985281118425178,0.7427476955337591,-0.5862060699660869
13067031206,Georgia,Cobb ,2019,10395,5361,0.1755,0.529,39.4,0.397,0.0,0.1138,0.083,0.5244,0.4756,0.0938,0.5099,0.0409,0.1546,0.1772,58809.0,0.042,0.1177,0.0015,0.5359,1.94,0.0063,0.0054,0.1548,0.1207,0.0407,0.0762,0.0924,0.0573,1338,336900,-2.249821360567716,-0.28538683417085703,-0.5146293453836623,-0.28807168306243075,-1.366594170955578,0.20486067300481176,-0.3893604800848729
13067031207,Georgia,Cobb ,2019,4714,2690,0.164,0.4964,34.7,0.3146,0.0,0.1201,0.0422,0.669,0.331,0.0929,0.4089,0.0024,0.1115,0.1543,65546.0,0.0187,0.1407,0.0,0.7435,1.75,0.0,0.0327,0.1933,0.1016,0.0181,0.0435,0.0702,0.1607,1591,372300,-4.187745002116717,0.1347896123219388,-0.8945744924165633,-0.6814570249503439,-1.6251951192420253,-1.1213079778297235,-0.4805643657835698
13067031208,Georgia,Cobb ,2019,6010,3082,0.1669,0.5404,31.1,0.1902,0.0,0.3366,0.0233,0.7807,0.2193,0.0441,0.4712,0.0154,0.0613,0.0915,48047.0,0.0181,0.0632,0.0126,0.6823,1.95,0.0,0.0334,0.158,0.0561,0.0801,0.0642,0.0433,0.1074,1321,323200,-4.01660404608519,-0.3329692740475512,-1.2512380152828777,-0.08570383340036344,-1.8783024365960543,-0.4683904867583429,-0.6435502842547633
13067031209,Georgia,Cobb ,2019,4879,1823,0.2127,0.5304,41.6,0.1869,0.0027,0.0488,0.0547,0.8847,0.1153,0.0269,0.4398,0.0068,0.3209,0.2425,69416.0,0.0056,0.0603,0.0089,0.1207,2.68,0.0,0.0,0.1031,0.0461,0.0095,0.0984,0.0629,0.036,2267,451600,-3.8113167864279505,-1.0721923539875353,0.13259177407890826,-0.7055389511031108,-1.8408593273204217,-0.3253179280957911,-0.7147701292925077
13067031211,Georgia,Cobb ,2019,4558,2523,0.1362,0.5954,32.0,0.357,0.0,0.0384,0.0849,0.6549,0.3451,0.1074,0.5879,0.0018,0.1082,0.1577,63179.0,0.0148,0.1036,0.0,0.6964,1.79,0.0,0.0456,0.1379,0.0833,0.0183,0.0306,0.0704,0.1088,1380,265200,-2.3330209335451872,-0.458091551061434,-1.1164572798130095,-0.7571637046578478,-1.051168005973678,1.0498596079607823,-0.6123976725139273
13067031212,Georgia,Cobb ,2019,2330,1012,0.3614,0.497,55.8,0.0159,0.0,0.0464,0.0326,0.9608,0.0392,0.0504,0.3834,0.0134,0.4545,0.4239,130373.0,0.0243,0.0564,0.0048,0.0445,2.3,0.0047,0.0059,0.1018,0.0279,0.0101,0.0279,0.0979,0.0498,2364,747100,-2.557399764634292,-0.8345263941428819,2.7751414488454373,-0.4433877538967039,-2.958892798803823,-1.0957342666363206,-0.04626817960257951
13067031306,Georgia,Cobb ,2019,4566,1548,0.1925,0.5337,35.2,0.458,0.0,0.0103,0.2072,0.8106,0.1894,0.1292,0.5011,0.1154,0.0588,0.2926,33554.0,0.0235,0.2085,0.0,0.3953,2.94,0.0,0.0517,0.1932,0.1708,0.0889,0.0712,0.1231,0.0,1185,162500,0.7703615751806562,-0.6446709495163332,-0.326124962257025,0.7927942606746995,-0.13299734407489106,1.081360570354206,-0.15959164759879302
13067031307,Georgia,Cobb ,2019,6608,2300,0.2134,0.5216,37.4,0.2249,0.0,0.0471,0.2155,0.8205,0.1795,0.1365,0.4351,0.0947,0.0935,0.3283,38596.0,0.0385,0.1095,0.0,0.1783,2.87,0.0104,0.0309,0.0817,0.1076,0.0845,0.1058,0.085,0.0441,1347,221400,-0.40765478641425795,-1.0587917499993902,-0.035347503541063634,0.6126103422864705,-0.38555444665758176,0.45942857149730704,-0.3605912597865791
13067031308,Georgia,Cobb ,2019,5194,1827,0.1698,0.4869,33.6,0.3439,0.0,0.0069,0.4218,0.7638,0.2362,0.1363,0.402,0.2243,0.0323,0.2638,24108.0,0.0872,0.16,0.0,0.462,2.84,0.0171,0.0498,0.2326,0.3393,0.1739,0.1186,0.0931,0.0828,958,122200,1.770615703683611,-0.20588523914968454,-0.36974413724033545,2.447659733915646,0.05535028522797665,-0.1567649390699914,0.23285418628915075
13067031309,Georgia,Cobb ,2019,6899,2430,0.1423,0.5523,35.0,0.5865,0.0,0.0109,0.1938,0.3932,0.6068,0.2551,0.5181,0.1388,0.0,0.2321,22289.0,0.0392,0.1793,0.0,0.284,2.83,0.0772,0.0218,0.1593,0.1619,0.117,0.1015,0.0696,0.1583,1176,129700,1.2021876662451558,-0.47682038746275857,-0.8976083566915279,0.5906378291534752,0.6112620285136251,1.3747165527323422,-0.1875075917482883
