GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
5045030600,Arkansas,Faulkner ,2019,5544,2101,0.2684,0.5043,38.0,0.1311,0.0,0.0092,0.0182,0.7587,0.2413,0.0971,0.4765,0.0294,0.0466,0.4307,30653.0,0.0112,0.1911,0.0142,0.3465,2.59,0.0064,0.0543,0.2599,0.0488,0.0081,0.1755,0.1636,0.0424,1031,161600,-0.9599822300256161,-0.23696159286672655,-0.20343547384716748,-0.6666687874891114,0.7635745321517305,-0.6164909079743413,-0.24181871315879513
5045030701,Arkansas,Faulkner ,2019,3773,1315,0.1124,0.5767,23.3,0.2817,0.0024,0.0106,0.0686,0.3108,0.6892,0.1878,0.5112,0.1504,0.0076,0.2928,13346.0,0.0838,0.2264,0.0,0.7255,1.88,0.03,0.2373,0.3787,0.1148,0.004,0.368,0.1837,0.1792,737,110800,1.0876420624959078,1.9219523098744533,-1.3647189986263466,-0.18601041331289694,0.5025935407133599,0.21382562384733805,0.4413955595392675
5045030702,Arkansas,Faulkner ,2019,4122,1651,0.1659,0.4959,32.2,0.2344,0.0,0.0,0.0839,0.364,0.636,0.1672,0.4743,0.1102,0.0127,0.281,19299.0,0.0265,0.1448,0.0,0.6784,2.29,0.0355,0.0763,0.3349,0.1872,0.0369,0.3301,0.1887,0.1241,802,108200,0.17536133282038097,0.8932926994027297,-1.1979280475700471,0.42215924314638786,-0.05595712570210827,0.1137945635434188,0.11162251956118241
5045030800,Arkansas,Faulkner ,2019,5879,1775,0.1225,0.5981,21.7,0.1881,0.0032,0.0626,0.0356,0.5755,0.4245,0.0868,0.5501,0.0972,0.0659,0.2744,22357.0,0.073,0.2548,0.0144,0.5662,2.08,0.0,0.0558,0.2608,0.0772,0.0154,0.2692,0.0963,0.1308,807,178800,-0.8733449242158691,0.5722191351956369,-1.66495615989993,-0.40112302195253047,1.1134143193975723,-0.4928991969566179,-0.2294852116190469
5045030900,Arkansas,Faulkner ,2019,3504,1424,0.1381,0.5277,27.9,0.2628,0.0,0.0017,0.1005,0.276,0.724,0.1636,0.5602,0.1201,0.0,0.1987,14124.0,0.0538,0.3697,0.0,0.7444,2.34,0.1613,0.139,0.356,0.1612,0.0443,0.4834,0.1603,0.1584,739,116300,1.7011269556753943,1.587868385826813,-1.60868145551725,0.30874329509876697,0.5303923979251037,0.8828043323419604,0.36437478057987205
5045031001,Arkansas,Faulkner ,2019,4653,1579,0.1861,0.5111,31.3,0.1638,0.0219,0.0165,0.1006,0.6345,0.3655,0.1609,0.4717,0.0567,0.069,0.2685,36632.0,0.0543,0.176,0.0,0.4357,2.9,0.072,0.0057,0.1476,0.1089,0.0334,0.1969,0.1222,0.0601,878,194600,-2.007411947527064,-0.21801847003768363,-1.2967197811767475,-0.16661094987114897,0.20822593275797271,-0.5342886791994567,-0.49195210383212934
5045031003,Arkansas,Faulkner ,2019,2463,978,0.1892,0.516,28.7,0.1397,0.0,0.0,0.0966,0.867,0.133,0.0992,0.5012,0.1184,0.0245,0.2699,28670.0,0.0417,0.2251,0.0,0.6115,2.43,0.2161,0.0644,0.2628,0.07,0.0284,0.236,0.1537,0.065,707,150800,-0.8688056895894467,-0.06509723239940428,-1.3791776232326982,-0.22859247810149574,0.37515449195849143,0.42890715218566,-0.3853767351101304
5045031005,Arkansas,Faulkner ,2019,9269,3504,0.1332,0.5217,27.9,0.0893,0.0053,0.0365,0.0117,0.8127,0.1873,0.1036,0.4959,0.0412,0.0554,0.1404,34477.0,0.0165,0.1712,0.024,0.4983,2.61,0.0019,0.0114,0.1684,0.0692,0.0115,0.1855,0.0822,0.0403,847,213600,-3.7432217467408497,-0.4308357770345869,-2.2662323852145985,-0.857693366198217,0.2577410430165551,-0.44620126131000243,-0.9510199367936425
5045031006,Arkansas,Faulkner ,2019,4143,1657,0.1719,0.4801,34.3,0.2513,0.0,0.0111,0.0357,0.6776,0.3224,0.0972,0.4655,0.0253,0.0127,0.2281,26395.0,0.0234,0.1392,0.0,0.3844,2.5,0.0699,0.076,0.2022,0.0582,0.017,0.1561,0.1299,0.0955,1005,137100,-2.7691412471835575,-0.18471508315063973,-1.5699796701749047,-0.922543296442493,-0.12311010996352965,0.031206912548009186,-0.6687948287444359
5045031101,Arkansas,Faulkner ,2019,5642,1908,0.238,0.4786,37.8,0.0833,0.0,0.0,0.0837,0.8219,0.1781,0.0959,0.3751,0.1299,0.0142,0.381,22300.0,0.1149,0.175,0.0,0.2495,2.95,0.3592,0.0288,0.153,0.1866,0.0299,0.1587,0.2099,0.1811,841,97700,-0.5082984480104098,-0.41688434684400094,-0.1020678160980161,0.4965838628497428,-1.291382582481462,0.8054524345633265,-0.17083271908146155
