GEOID,Total_Pop,Total_HH,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QED12LES,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QGROUP,QHISP,QHSEBRDN,QMOHO,QNATAM,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,Year
47001980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47009980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47009980200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47017980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47029980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47031980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47037980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47037980200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47053980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47065980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47145980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47155980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47157980200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47157980300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47161980100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47161980200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2011
47125980100,35,0,-999,-999,21.4,9709,-999,0,0,0.5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,2011
47065980200,46,14,-999,-999,59.4,26393,3.29,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.129,0.3043,0,0,0,0,0,2011
47157980100,71,0,-999,-999,43.5,2923,-999,0,0,1,0,0.3944,0,0,0,0.4085,0.5,0,0,0,0,0,0,0,-999,1,0,0,0,0,0,2011
47037016000,506,296,519,94100,56.2,11828,1.59,0.3676,0,0.919,0.3947,0.1696,0,0,0,0.5771,0.6014,0.3345,0,0,0.4899,0,0.0158,0.4459,0.3044,0.2923,0.5912,0,0.3188,0.6858,0.2816,2011
47065010902,599,380,564,104100,59.4,27333,1.58,0.424,0,0,0.1371,0.3096,0,0.0888,0,0.5359,0.4393,0.2263,0,0,0.3053,0.1206,0,0,0.3638,0.177,0.2132,0.0316,0.0514,0.6895,0.1183,2011
47157980400,658,0,-999,-999,29.3,6137,-999,0,0,0.7067,0,0.4309,0.0228,0,0,0.4134,0,0,1.3754,0.0395,0,0,0,0,-999,0,0,0,0,0,0,2011
47025970400,727,309,-999,54200,45.9,11644,2.35,0.1706,0.0069,0,0.1224,0.5783,0,0.149,1,0.4663,0.3654,0.0647,0,0,0.2298,0.4223,0,0.068,0.1584,0.3865,0.0065,0,0.3077,0.5016,0.1995,2011
47157000200,870,306,549,59000,27,11628,2.84,0.2345,0,1,0.0649,0.1814,0,0.0139,0.22,0.4046,0.4639,0.3268,0,0,0.2353,0,0,0.3595,0.2255,0.2517,0.7124,0,0.5556,0.2974,0.3929,2011
47037014400,881,372,751,-999,25.7,12525,2.08,0.0851,0.059,0.7196,0.3139,0.1758,0.0287,0.0162,0.0753,0.5187,0.4251,0.3817,0,0,0.3952,0,0,0.2769,0.1231,0.5252,1,0,0.1619,0.078,0.256,2011
47091956000,935,429,725,114900,60.1,19777,2.18,0.3775,0.0214,0,0.1224,0.3187,0,0.2143,0.531,0.4824,0.4626,0.1189,0,0,0.1305,0.1147,0,0.0117,0.1878,0.0909,0.1515,0,0.119,0.669,0.1936,2011
47157002100,949,416,525,132700,42.6,13535,2.26,0.2866,0,0.9115,0.2457,0.3371,0,0,0.25,0.5511,0.3971,0.2067,0,0,0.3413,0,0,0.5697,0.2416,0.3583,0.7524,0,0.2971,0.4255,0.1875,2011
47157004600,1033,479,545,144400,31.8,16691,2.12,0.2546,0,0.8867,0.341,0.4178,0,0,0.1198,0.4366,0.6795,0.2317,0,0,0.5511,0,0,0.3445,0.2203,0.4627,0.9374,0.0125,0.2394,0.2276,0.2687,2011
47157004500,1046,273,290,63800,19.2,4203,3.79,0.153,0,0.9876,0.4231,0.45,0.0032,0.14,0,0.6511,0.5267,0.7033,0,0,0.4139,0.0067,0.0029,0.4139,0.2765,0.7326,0.9414,0,0.5867,0.2637,0.3947,2011
47113001100,1090,433,718,52800,28.3,7726,2.52,0.2165,0.0083,0.8945,0.2671,0.325,0,0.0387,0,0.4817,0.3871,0.3741,0,0.0312,0.485,0,0,0.3002,0.3074,0.5606,0.7113,0,0.3226,0.3695,0.1035,2011
47157005800,1123,416,826,42800,41,8447,2.65,0.2155,0,0.9947,0.3759,0.3205,0,0,0.2982,0.5628,0.722,0.2596,0,0,0.6899,0,0,0.4303,0.4114,0.6857,0.6514,0,0.3012,0.3173,0.3344,2011
47053966800,1130,485,585,77300,40.2,22379,2.33,0.208,0,0.0637,0.2072,0.0809,0.0258,0.1469,0.9173,0.4212,0.4579,0.0289,0,0.0389,0.0186,0.2348,0,0.0186,0.1355,0.1664,0.2165,0.0144,0.1641,0.367,0.2036,2011
47125100700,1134,467,677,194800,35.9,30840,2.43,0.1737,0,0.433,0.1931,0.1752,0.0018,0.0506,0.6957,0.6226,0.6576,0.2634,0,0.0053,0.1713,0,0,0.1049,0.0876,0.0908,0.5482,0.0771,0.1031,0.2655,0.2394,2011
