GEOID,Total_Pop,Total_HH,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QED12LES,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QGROUP,QHISP,QHSEBRDN,QMOHO,QNATAM,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,Year
47031971000,6217,2546,651,109100,41.6,19144,2.37,0.2459,0.014,0.0365,0.1045,0.1119,0.0352,0.0615,0.5915,0.5403,0.5438,0.1685,0.0283,0.0475,0.1485,0.0032,0.0014,0.0809,0.1162,0.0969,0.3833,0,0.2169,0.3582,0.0835,2012
47173040202,6218,2281,483,102600,39.9,17328,2.72,0.1914,0,0,0.0443,0.3165,0.0044,0.1741,0.7469,0.4809,0.3885,0.0973,0.0008,0.0005,0.1517,0.2748,0,0.0465,0.1254,0.2291,0.1626,0.0145,0.1429,0.4204,0.1839,2012
47149041600,6228,2926,608,139000,29.9,16312,2.06,0.1609,0.0111,0.2325,0.1291,0.1654,0.046,0.1372,0.6862,0.5151,0.4674,0.1186,0.0311,0.0827,0.2676,0,0.0242,0.1907,0.2804,0.3663,0.837,0.0041,0.3124,0.218,0.0655,2012
47157021135,6239,2734,1078,114600,33,27294,2.28,0.1548,0.0694,0.3166,0.0734,0.0459,0.0833,0.0147,0.4399,0.5884,0.6036,0.2381,0.0005,0.0309,0.3215,0,0,0.0285,0.1289,0.0622,0.3756,0.0146,0.1421,0.1876,0.0688,2012
47189030204,6253,2291,947,247600,40,34888,2.72,0.1762,0.0019,0.0225,0.081,0.077,0.01,0.1284,0.9098,0.4927,0.459,0.0432,0.0027,0.0123,0.1454,0.1026,0.0019,0.0061,0.0851,0.0657,0.1157,0.0873,0.0596,0.2462,0.0891,2012
47053966700,6263,2495,523,81500,39,18598,2.39,0.2625,0,0.2596,0.1387,0.2768,0.013,0.105,0.5214,0.5127,0.5517,0.18,0.0497,0.0324,0.2437,0.0533,0,0.1319,0.1537,0.236,0.3206,0.0108,0.1906,0.4072,0.1083,2012
47043060602,6290,2418,679,129500,34.5,16813,2.6,0.21,0.0278,0.1722,0.095,0.1865,0.0517,0.1463,0.646,0.5437,0.4676,0.2068,0.0005,0.0757,0.3329,0.0785,0,0.1042,0.1469,0.2308,0.5294,0,0.2076,0.2477,0.0879,2012
47065010432,6295,2801,934,214800,50,41539,2.23,0.2654,0.0076,0.0278,0.0266,0.075,0.0036,0.0473,0.9343,0.5387,0.4572,0.0475,0.0092,0,0.0868,0.0051,0,0.045,0.0635,0.0422,0.2728,0.0803,0.0498,0.3492,0.1054,2012
47009011301,6302,2238,623,165400,41.7,21587,2.81,0.1947,0.0062,0.0308,0.06,0.111,0.0048,0.1545,0.8564,0.4825,0.4639,0.0344,0.0033,0.0221,0.1363,0.119,0,0.0197,0.1656,0.0764,0.1823,0.0071,0.1494,0.315,0.0424,2012
47167040304,6314,2223,986,141100,35.3,22671,2.84,0.1882,0.0095,0.055,0.0847,0.1229,0.0311,0.1404,0.7866,0.4978,0.4713,0.117,0,0.0516,0.1921,0.0863,0.0188,0.0265,0.1682,0.0841,0.2492,0.0072,0.2039,0.2798,0.0356,2012
47179060900,6314,2633,606,120200,33.3,14095,2.34,0.1847,0.0032,0.1337,0.1227,0.2635,0,0.1092,0.4714,0.5732,0.5901,0.2081,0.0249,0.0131,0.3445,0.0151,0.0063,0.1428,0.1607,0.3898,0.7235,0.0106,0.3717,0.3787,0.0761,2012
47187050601,6321,2233,902,312700,37.4,33221,2.83,0.1057,0.0073,0.1104,0.0709,0.0773,0.0433,0.0658,0.8427,0.4956,0.4246,0.1218,0,0.125,0.2024,0,0,0.0273,0.1145,0.1395,0.3524,0.099,0.1559,0.1626,0,2012
47179061402,6344,2523,633,263000,40.4,37965,2.46,0.1595,0.0202,0.0061,0.0375,0.0953,0.0025,0.0603,0.7839,0.4737,0.4417,0.0816,0.021,0,0.0769,0.0666,0.0073,0.0111,0.0621,0.0783,0.2965,0.1038,0.1277,0.2394,0.1383,2012
47157021732,6350,2632,775,87300,29.8,17427,2.41,0.1584,0.0074,0.808,0.1207,0.1567,0.0629,0.0796,0.4224,0.5337,0.5255,0.3005,0.0005,0.0998,0.4005,0.0062,0,0.0885,0.2477,0.2694,0.6318,0,0.1417,0.128,0.0971,2012
47177930200,6361,2330,550,89000,37.7,20801,2.71,0.2009,0,0.0099,0.1123,0.2254,0.0328,0.1498,0.5207,0.4991,0.3889,0.1275,0.0061,0.086,0.1494,0.2799,0.0058,0.0588,0.1677,0.2097,0.2082,0.0279,0.2157,0.4026,0.167,2012
47157021320,6364,2638,960,288500,40.4,55754,2.32,0.261,0.0352,0.2984,0.0489,0.0437,0.0306,0.0306,0.6062,0.5132,0.4849,0.0989,0.0388,0.0121,0.1793,0,0,0.019,0.0698,0.0208,0.4496,0.1755,0.0792,0.2437,0.0692,2012
47189030304,6374,2404,969,162600,38.1,29389,2.65,0.1795,0.0077,0.0846,0.0597,0.0701,0.0057,0.1236,0.7935,0.5706,0.5092,0.1115,0,0.0135,0.1265,0.0907,0,0.0308,0.1017,0.0904,0.1302,0.0287,0.1061,0.1972,0,2012
47065011800,6388,2758,746,125900,37.7,23013,2.31,0.2567,0.0019,0.1418,0.0634,0.1007,0.0286,0.0491,0.3197,0.5778,0.5485,0.1584,0.0009,0.0266,0.1577,0.004,0,0.0341,0.1486,0.1335,0.3938,0.0065,0.167,0.3107,0.0822,2012
47055920300,6398,2586,562,92300,40.8,20812,2.47,0.2432,0,0.158,0.1912,0.1978,0.0056,0.0811,0.6648,0.4998,0.486,0.1234,0.0005,0.0144,0.174,0.1464,0,0.0882,0.121,0.1482,0.2409,0.024,0.1453,0.3743,0.1374,2012
47141000900,6406,2439,592,138400,35.4,18091,2.62,0.2086,0,0.0194,0.0904,0.1775,0.002,0.0962,0.6824,0.4777,0.477,0.1337,0.0042,0.0231,0.2312,0.1302,0,0.0459,0.1412,0.201,0.2296,0,0.1308,0.3428,0.1007,2012
47129110300,6410,1404,583,101100,36.8,12827,2.64,0.1373,0.0003,0.1064,0.0491,0.2171,0.0036,0.1581,0.6627,0.3101,0.5147,0.1688,0.4217,0.0209,0.1553,0.182,0,0.057,0.1004,0.1414,0.3226,0.0036,0.2332,0.3433,0.1247,2012
47157021744,6413,2042,1288,130100,33.5,22540,3.14,0.1527,0.0432,0.7332,0.1556,0.1154,0.0574,0.0532,0.6687,0.5589,0.4926,0.2351,0,0.0703,0.3119,0,0.003,0.0147,0.1781,0.1096,0.2375,0.0162,0.1975,0.24,0.0413,2012
47031970200,6414,2666,538,118200,38.3,20067,2.41,0.2401,0,0,0.103,0.2338,0.0155,0.1075,0.6947,0.5334,0.4316,0.1152,0,0.049,0.1564,0.2279,0,0.0221,0.1476,0.2268,0.1988,0.006,0.1095,0.3338,0.1039,2012
47155080102,6428,2505,635,147700,41.8,26429,2.57,0.2085,0.0051,0.0137,0.1467,0.1492,0.0079,0.1499,0.8342,0.5062,0.5149,0.0902,0,0.0165,0.1118,0.4011,0.0042,0.0291,0.1669,0.0846,0.2535,0.016,0.2545,0.3772,0.173,2012
