GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47001980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47017980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47029980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47037980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47037980200,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47065980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47065980200,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47145980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47155980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47157980200,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47157980300,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47161980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47161980200,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47031980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980100,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980200,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47053980100,2018,16,4,0,0.5,24.5,0,0,0,0,1,0,0,0,0,-999,0,0,0,0.5,0,0,4,0,0,-999,0,-999,0,0,0,0
47157980100,2018,76,0,0.0395,0.5132,31.3,0.0921,0,0,0,0,0,0.3167,0,0,6718,0,1,0,0,0,0,-999,0,0,-999,0,-999,0.6579,0,0.7895,1
47125980100,2018,291,0,0,0.0825,24.1,0.1856,0,0.0309,0.079,0,0,0,0,0,28481,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0,0,1
47157980400,2018,724,0,0,0.232,29.5,0.8287,0,0,0.0456,0,0,0.3598,0,0,5110,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0.0097,0,1
47025970400,2018,744,288,0.1841,0.5363,46.1,0,0,0,0,1,0.1285,0.3587,0.0104,0.5104,17732,0.1836,0.0574,0.2967,0.3923,0.234,0.1285,2.58,0.3457,0.0486,525,0.2153,57400,0.0565,0,0.2958,0
47157000200,2018,790,389,0.1,0.5759,35.7,0.9646,0.0165,0,0.0127,0.2605,0.3059,0.2456,0,0.2571,12545,0.3042,0.2586,0.038,0.7262,0.2189,0.8175,2.03,0,0.3933,747,0.5758,52600,0.1582,0,0.4532,0
47157000300,2018,806,343,0.2333,0.4591,43.5,0.9702,0,0,0.0136,0.0581,0.2711,0.2751,0,0.449,13920,0.2333,0.3411,0.0401,0.5184,0.2884,0.6618,2.35,0,0.3003,620,0.4227,55300,0.129,0.0077,0.3226,0
47157003800,2018,822,635,0.1399,0.3577,50.2,0.68,0,0.0535,0.0134,0,0.0268,0.2,0,0.315,14127,0.056,0.2611,0.0178,0.3294,0.0903,1,1.14,0,0.6583,506,0.2567,-999,0.0852,0.0328,0.5681,0.1156
47157005800,2018,873,333,0.1409,0.5819,43.4,0.9633,0,0,0,0,0.3694,0.2739,0,0.3814,14621,0.2248,0.2416,0.0112,0.4684,0.3741,0.7477,2.62,0.0094,0.4655,596,0.2913,48600,0.1569,0,0.4708,0
47037013000,2018,910,0,0.0681,0.0286,40.8,0.3659,0,0,0.0462,0,0,0.2832,0,0,5365,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0.056,0,1
47091956000,2018,914,460,0.4289,0.4322,60.6,0,0.0055,0,0.0295,0.5932,0.0761,0.1375,0.0109,0.5848,22025,0.0537,0.2687,0.2657,0.3761,0.1986,0.1674,1.99,0.2038,0,525,0.1043,116700,0.0486,0.0057,0.1871,0
