GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QEXTRCT,QSERV,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47187051002,2014,6042,2272,0.1332,0.5094,39.4,0.0151,0,0.0283,0.0862,0.8429,0.0449,0.0647,0.151,0.1884,45521,0.0669,0.0322,0.1562,0.4455,0.0169,0.2478,2.66,0.0407,0.0365,1296,0.1272,397600,0.1076,0.0513,0.0614,0.0002
47035970400,2014,6047,2613,0.3336,0.5836,38.7,0.002,0,0,0.0551,0.4707,0.1206,0.2333,0.0077,0.4179,14944,0.1108,0.1328,0.2821,0.6062,0.1036,0.5335,2.23,0.1153,0.142,603,0.2162,128800,0.1442,0.0166,0.3493,0.0372
47157009500,2014,6051,2898,0.2418,0.5766,42.9,0.0993,0.0013,0.0059,0.0208,0.8277,0.0794,0.0374,0.0587,0.2954,40375,0.0697,0.0413,0.1171,0.5122,0.0867,0.196,2.09,0,0.0041,1124,0.0773,131800,0.0797,0.0111,0.0321,0
47159975200,2014,6061,2217,0.2018,0.5202,39.4,0.0269,0.0124,0.0068,0.0495,0.8524,0.0677,0.2305,0.0117,0.3811,21502,0.0622,0.0914,0.1594,0.4481,0.0839,0.2679,2.73,0.2632,0.0794,496,0.1606,118400,0.1229,0.0157,0.1279,0
47037015802,2014,6062,2593,0.1438,0.4668,32.2,0.2478,0,0.0572,0.2371,0.4243,0.1747,0.2287,0,0.209,17345,0.076,0.1383,0.2767,0.3849,0.0959,0.7462,2.34,0,0.0922,701,0.2931,136800,0.3593,0.1869,0.2831,0.0008
47065011443,2014,6064,2650,0.2998,0.5392,43.1,0.2693,0,0.0599,0.0599,0.5105,0.157,0.1388,0.0057,0.4321,23123,0.0965,0.0984,0.1461,0.5011,0.0912,0.3355,2.25,0.059,0.0875,864,0.1902,142800,0.1804,0.0446,0.1531,0.017
47099960300,2014,6067,1713,0.2212,0.5337,25.6,0,0.002,0,0.0112,0.8469,0.1413,0.2514,0,0.3001,12587,0.1241,0.1351,0.1986,0.4373,0.0975,0.2189,3.54,0.1928,0.1617,560,0.2043,100300,0.362,0.0758,0.3841,0
47167040304,2014,6069,2170,0.205,0.4984,35.1,0.0549,0.0204,0.0086,0.0226,0.6576,0.1558,0.0717,0.024,0.2691,24016,0.1345,0.1363,0.1196,0.4045,0.0659,0.3281,2.8,0.0917,0.0207,850,0.1876,144000,0.1158,0.0117,0.1213,0
47049965200,2014,6080,2379,0.2263,0.4914,42.6,0,0,0.0028,0.0044,0.7993,0.0815,0.3149,0.005,0.4796,17998,0.0935,0.1892,0.1616,0.461,0.1283,0.1623,2.56,0.2616,0.0496,564,0.0988,89900,0.1738,0.011,0.1573,0
47177930400,2014,6080,2325,0.223,0.4709,42,0.0023,0,0.0086,0.1433,0.6738,0.1084,0.2796,0.0056,0.4228,18069,0.065,0.0965,0.0908,0.4449,0.1484,0.4374,2.6,0.0366,0.1178,622,0.1166,106300,0.2059,0.0944,0.1635,0.0064
47065011203,2014,6109,1759,0.1858,0.5184,31.4,0.1238,0,0.0187,0.0894,0.9576,0.0637,0.086,0.0773,0.3536,26568,0.0888,0.0545,0.1631,0.4903,0.0989,0.2462,2.73,0.0379,0,684,0.1569,241900,0.117,0.0319,0.077,0.2153
47189031000,2014,6121,2279,0.1833,0.5267,42.1,0.0239,0.0253,0.0015,0.024,0.7775,0.1031,0.1771,0.011,0.3159,21439,0.0692,0.1257,0.2091,0.4716,0.0833,0.2207,2.69,0.179,0.036,746,0.2102,132000,0.1799,0.0116,0.1938,0
47145030900,2014,6134,2270,0.2488,0.442,41.6,0.0108,0,0,0,0.71,0.1079,0.1653,0.0088,0.4419,18718,0.0862,0.1578,0.1806,0.4269,0.1256,0.2145,2.7,0.3629,0.0048,550,0.1855,111200,0.1107,0.0068,0.1754,0
47145030201,2014,6147,2611,0.2212,0.5225,46.1,0.0148,0.002,0,0.0234,0.6008,0.1272,0.1056,0.0123,0.3516,25817,0.1237,0.153,0.177,0.4636,0.0725,0.1716,2.34,0.1925,0.0283,813,0.1137,148800,0.1115,0.0096,0.1156,0.0046
