GEOID,Year,Total_Pop, Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47009011102,2015,9216,3263,0.2693,0.5531,44.9,0.0051,0,0.01,0.0089,0.7848,0.0726,0.0648,0.049,0.4076,32118,0.0645,0.1003,0.0841,0.4954,0.0578,0.1802,2.73,0.0043,0.0178,1047,0.1649,220900,0.0631,0.0056,0.0834,0.0323
47009011200,2015,8020,3343,0.2307,0.497,38.2,0.0183,0.002,0.0279,0.0342,0.6966,0.1304,0.1946,0.0251,0.3344,23390,0.0489,0.1457,0.1028,0.4215,0.0752,0.37,2.4,0.1261,0.0778,930,0.1651,135200,0.0878,0.0262,0.1298,0
47009011301,2015,5997,2177,0.2044,0.4966,41,0.0313,0,0,0.0275,0.6763,0.0928,0.1072,0.0161,0.3881,28181,0.0724,0.1446,0.0902,0.443,0.0791,0.1594,2.75,0.0943,0.0381,660,0.1148,150500,0.1089,0.0045,0.0803,0.0008
47009011302,2015,5872,2058,0.1977,0.5109,45.4,0.0024,0.0061,0.0037,0.0039,0.9023,0.1098,0.154,0.0219,0.3222,22415,0.1781,0.201,0.0981,0.5226,0.0551,0.2454,2.85,0.225,0.019,812,0.1365,199900,0.1356,0.008,0.1475,0
47009011401,2015,1654,702,0.3356,0.4933,53.4,0,0.0719,0.0091,0.0284,0.9231,0.084,0.1616,0.0142,0.5499,21194,0.0683,0.4579,0.1154,0.3407,0.4366,0.2407,2.36,0.179,0.0356,775,0.1268,173400,0.1149,0,0.1644,0
47009011402,2015,4649,1977,0.2306,0.5341,51.8,0,0,0.009,0,0.7361,0.1072,0.1213,0.0309,0.4613,23428,0.1327,0.1945,0.1418,0.4686,0.3539,0.175,2.35,0.2657,0.0278,668,0.1462,154500,0.1245,0.0035,0.1623,0
47009011501,2015,1633,701,0.2223,0.4881,50.9,0,0,0,0.0049,0.8148,0,0.1845,0,0.4693,24071,0.0691,0.2558,0.1183,0.4085,0.1564,0.1227,2.33,0.3273,0.0842,623,0.1298,121400,0.1188,0,0.1728,0
47009011502,2015,4684,1685,0.2308,0.5239,37.3,0,0,0,0,0.9522,0.0582,0.1401,0.0202,0.3733,22196,0.1004,0.1634,0.1378,0.5564,0.0665,0.1858,2.78,0.267,0.022,774,0.1727,180900,0.0988,0,0.2359,0
47009011503,2015,6699,2489,0.235,0.5101,45.4,0.0024,0.0018,0,0.0355,0.9442,0.041,0.0699,0.0181,0.3893,25378,0.1037,0.1556,0.1081,0.4724,0.1192,0.1053,2.69,0.0506,0.0084,646,0.1362,188300,0.1171,0,0.1175,0
47009011602,2015,9264,3427,0.237,0.4823,42.1,0,0,0.0015,0.0305,0.7664,0.0855,0.0916,0.0143,0.3741,25635,0.0816,0.1831,0.1158,0.4556,0.0517,0.185,2.7,0.2003,0.0274,685,0.1544,182300,0.1183,0.0101,0.0903,0
47009011603,2015,4931,1899,0.1991,0.5238,43.8,0.0448,0.0081,0.0095,0.0249,0.9027,0.0442,0.1768,0.0432,0.3344,30996,0.1032,0.1544,0.1773,0.4092,0.0936,0.1654,2.6,0.1838,0.0211,767,0.1469,155100,0.1269,0.0178,0.0962,0
47009011604,2015,4281,1539,0.1873,0.5235,40.8,0.0063,0,0,0.0271,0.9658,0.0507,0.0709,0.0442,0.3444,33345,0.0234,0.1534,0.0912,0.4811,0.0506,0.1559,2.78,0.2042,0.037,887,0.1391,170800,0.1425,0.007,0.0649,0
47009011605,2015,3147,1301,0.2421,0.4894,50.9,0.0029,0.0051,0.0044,0.0257,0.9469,0.0477,0.1039,0.0876,0.4289,42422,0.0598,0.1149,0.0692,0.5287,0.1574,0.1045,2.4,0.1082,0.0315,793,0.1499,280400,0.068,0.0023,0.0763,0.0095
47009980100,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980200,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47011010100,2015,4901,1840,0.2381,0.5348,40.3,0.0949,0,0.0094,0.0733,0.7584,0.1163,0.1309,0.0049,0.3207,19600,0.0936,0.2158,0.0626,0.4796,0.1209,0.5609,2.54,0.0354,0.0457,743,0.2234,158300,0.166,0.0288,0.1946,0.0447
47011010200,2015,5637,2526,0.2987,0.556,41.6,0.005,0,0.0632,0.1451,0.7318,0.0693,0.2037,0.0412,0.3603,37933,0.0974,0.2621,0.0315,0.4718,0.0613,0.5143,2.17,0.0223,0.1089,764,0.2732,199300,0.1605,0.1526,0.1757,0.0273
47011010300,2015,2891,1101,0.1667,0.5344,34.2,0.028,0,0.027,0.0228,0.4465,0.248,0.2833,0,0.3243,14461,0.158,0.245,0.0729,0.5093,0.1331,0.5495,2.63,0.0945,0.0163,753,0.2507,54000,0.1605,0.0215,0.404,0
47011010400,2015,2978,1061,0.1612,0.4745,27.2,0.2482,0.0047,0.0017,0.093,0.5677,0.1697,0.246,0.0057,0.3629,9231,0.3227,0.2543,0.0529,0.4017,0.1685,0.7719,2.48,0.0627,0.1885,519,0.327,70400,0.2169,0.0511,0.5331,0.1179
47011010500,2015,3649,1055,0.097,0.5325,21.7,0.0822,0.0104,0.014,0.0518,0.6094,0.0645,0.1804,0.0114,0.1611,15306,0.1088,0.2908,0.0412,0.4678,0.1519,0.7071,2.03,0,0.1791,689,0.3223,159700,0.2047,0.0205,0.2418,0.4119
47011010600,2015,3005,1232,0.2892,0.4852,41.4,0.0303,0,0.005,0.1398,0.6244,0.1185,0.179,0.0219,0.3807,22483,0.099,0.1789,0.0765,0.3636,0.1244,0.4878,2.43,0.0142,0.0714,719,0.237,154200,0.1205,0.069,0.1687,0.0033
47011010700,2015,4923,1778,0.172,0.4908,30,0.1359,0,0.0053,0.0987,0.3346,0.2418,0.3275,0,0.2486,11092,0.1796,0.3052,0.0856,0.5401,0.1114,0.7019,2.52,0.066,0.0996,593,0.3172,81800,0.2561,0.0762,0.4376,0.0884
47011010800,2015,3111,1207,0.2456,0.4998,29.7,0.1022,0.0045,0.0116,0.0633,0.6632,0.1748,0.23,0,0.3322,13594,0.1214,0.2981,0.1066,0.4734,0.0835,0.6529,2.54,0.0448,0.1176,655,0.3016,71800,0.1502,0.0368,0.424,0.0132
47011010900,2015,3238,1234,0.2523,0.4815,42.2,0,0,0,0.0253,0.6633,0.1224,0.2451,0.0057,0.453,21028,0.1254,0.1574,0.0868,0.3757,0.0694,0.316,2.62,0.1086,0.0276,674,0.1491,122200,0.1251,0.0153,0.1635,0
47011011000,2015,5668,2199,0.2279,0.4688,37.6,0.0249,0,0.0115,0.0482,0.8035,0.1151,0.2403,0,0.3929,18709,0.123,0.151,0.0928,0.4594,0.0951,0.171,2.58,0.1329,0.0246,783,0.1146,101600,0.1168,0.038,0.1553,0
47011011100,2015,9914,3599,0.2047,0.5117,39.9,0.0201,0,0,0.0133,0.8504,0.1089,0.175,0.01,0.3243,21943,0.0911,0.1394,0.0884,0.4772,0.0664,0.2064,2.75,0.1505,0.0361,834,0.16,143700,0.0981,0.014,0.1579,0
47011011201,2015,6290,2320,0.2118,0.5614,39.1,0.0509,0.0003,0,0.0232,0.7119,0.1259,0.0712,0.0043,0.2983,23258,0.0913,0.1478,0.0816,0.5,0.0641,0.2711,2.71,0.0464,0.0142,852,0.0966,148300,0.1022,0.006,0.142,0
47011011202,2015,8470,3225,0.1963,0.5333,43.9,0.0472,0,0.0096,0.0837,0.6699,0.0967,0.0909,0.0329,0.3513,28178,0.1418,0.1466,0.0527,0.4606,0.0854,0.2388,2.59,0.093,0.031,878,0.2468,179900,0.1018,0.0195,0.1415,0.0149
