GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47157020532,2017,5951,2245,0.1874,0.5426,39.3,0.6846,0,0.0029,0.06,0.4276,0.2134,0.1193,0,0.3345,20610,0.0724,0.2285,0.0879,0.4812,0.1213,0.4401,2.55,0.0258,0.1617,745,0.2062,94500,0.1143,0.0159,0.1272,0.0393
47037018801,2017,5964,2430,0.2404,0.5349,36.5,0.0312,0.0023,0.0796,0.0084,0.9028,0.0584,0.0112,0.1358,0.2432,56186,0,0.0404,0.0298,0.4932,0.0736,0.2749,2.45,0,0.0185,1407,0.0597,337500,0.0392,0.0262,0.0495,0
47053966700,2017,5965,2532,0.2359,0.5237,39.4,0.2567,0,0.0028,0.0215,0.439,0.2077,0.1986,0.0039,0.4009,18677,0.0234,0.1949,0.0498,0.5417,0.123,0.4317,2.19,0.0357,0.0829,656,0.2125,98900,0.0569,0,0.1974,0.0706
47103975300,2017,5970,2800,0.2593,0.5479,41.6,0.2248,0,0.0047,0.0409,0.3886,0.2229,0.2035,0.0243,0.4164,23065,0.0804,0.0987,0.0944,0.4556,0.1074,0.4504,2.13,0.0424,0.175,571,0.2375,118700,0.0769,0.015,0.2679,0
47117955200,2017,5978,2335,0.1812,0.4863,37.8,0.0838,0,0.0065,0.0266,0.7545,0.1572,0.1474,0,0.3482,22155,0.0666,0.1557,0.113,0.5115,0.1098,0.3002,2.49,0.1311,0.0651,661,0.1499,114500,0.0914,0.0043,0.124,0.0268
47007953100,2017,5981,2107,0.2207,0.4755,45.7,0.0341,0.015,0.0072,0.0129,0.683,0.1139,0.2357,0.0465,0.3811,26822,0.0953,0.1458,0.1305,0.4151,0.1836,0.3218,2.8,0.21,0.0508,582,0.1395,136500,0.1434,0.0035,0.184,0.0137
47045964200,2017,5998,2731,0.2469,0.5287,45,0.133,0.0023,0.0128,0.0213,0.5378,0.1373,0.1497,0.0421,0.4013,38432,0.0659,0.2154,0.0469,0.4822,0.099,0.5313,2.19,0.0069,0.093,654,0.1267,141600,0.0794,0.0058,0.1329,0.0013
47113000200,2017,5999,2537,0.2429,0.5644,36.2,0.5534,0,0,0.0972,0.5971,0.2373,0.1955,0.0229,0.2736,21632,0.0527,0.184,0.0693,0.5642,0.1816,0.6358,2.36,0.0148,0.1782,733,0.3843,109100,0.1619,0.0438,0.3437,0.0027
47111970200,2017,6006,2348,0.2483,0.4662,37.5,0,0,0.0077,0.0504,0.8183,0.0775,0.1778,0.0166,0.414,25165,0.0742,0.13,0.1102,0.4567,0.0548,0.1963,2.56,0.2762,0.0328,751,0.046,134100,0.0673,0.0023,0.0838,0
47063100700,2017,6013,2257,0.224,0.5508,41.8,0.0148,0.0078,0.0033,0.0511,0.733,0.1236,0.1215,0.0142,0.4085,19694,0.0516,0.0737,0.1189,0.5268,0.1352,0.2105,2.66,0.1981,0.0084,676,0.1272,133400,0.1186,0.0212,0.1727,0
47157020541,2017,6014,1855,0.1528,0.5783,30.2,0.8041,0.0043,0.0086,0.0136,0.3952,0.3429,0.1721,0.0162,0.248,20312,0.1298,0.1842,0.0826,0.5779,0.0889,0.4075,3.23,0.0255,0.0394,1049,0.2232,95400,0.1172,0.0153,0.2358,0.004
47157021744,2017,6015,2049,0.1566,0.5707,39.5,0.7784,0,0.0111,0.1102,0.608,0.1806,0.1642,0.0059,0.2469,25032,0.0896,0.1421,0.1396,0.5108,0.0439,0.2279,2.94,0,0.0137,1412,0.1913,118700,0.1593,0.0577,0.0599,0
47187050601,2017,6016,2168,0.1616,0.4806,36.4,0.0735,0,0.0108,0.1222,0.8541,0.149,0.0926,0.0969,0.2117,34910,0.0789,0.1461,0.0956,0.4134,0.0287,0.3164,2.77,0.0152,0,973,0.1158,343000,0.1185,0.0559,0.1034,0
47065011443,2017,6020,2730,0.3334,0.5262,41.9,0.2867,0,0.0713,0.0752,0.6127,0.093,0.1158,0.0158,0.4209,28856,0.029,0.1595,0.0767,0.4639,0.0906,0.4249,2.16,0.0433,0.0564,926,0.2374,149900,0.09,0.061,0.1247,0.0186
47187050406,2017,6037,2038,0.1799,0.5041,40.7,0.025,0.0022,0.0084,0.0192,0.9349,0.0368,0.0068,0.2713,0.2031,59208,0.0329,0.0491,0.0478,0.438,0.0253,0.1698,2.96,0,0.0113,1869,0.1256,465200,0.0192,0,0.0413,0
