GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QESL,QPOVTY,QNOHLTH,QGROUP
47011010100,2013,4833,1754,0.2609,0.4943,40.3,0.054,0,0.0074,0.0596,0.7588,0.1043,0.1318,0.0046,0.3546,18733,0.1052,0.1772,0.1341,0.4571,0.1632,0.4937,2.63,0.0272,0.1174,737,0.244,153500,0.033,0.2544,0.2028,0.0453
47101970100,2013,4833,1786,0.2243,0.4883,40.2,0.0116,0,0,0.0031,0.9294,0.0515,0.1996,0.0185,0.3931,18591,0.1591,0.1349,0.1338,0.4641,0.1351,0.1529,2.68,0.2513,0.0392,603,0.1467,106600,0.006,0.1383,0.1257,0.0108
47027955000,2013,4847,2070,0.3074,0.5063,47.5,0.0409,0,0.0043,0.0177,0.6381,0.1077,0.2887,0.0014,0.4783,16073,0.0953,0.2059,0.1817,0.444,0.2589,0.272,2.29,0.2019,0.0918,505,0.1691,98800,0.016,0.2506,0.1537,0.0208
47037011300,2013,4848,1770,0.2172,0.5023,33.6,0.4076,0.0029,0.0159,0.2376,0.454,0.2215,0.441,0.013,0.2859,16971,0.154,0.2964,0.1674,0.5101,0.1991,0.5175,2.74,0.1652,0.0819,823,0.3147,97400,0.116,0.3763,0.3185,0.0012
47161110700,2013,4858,1873,0.2464,0.5076,41.2,0.007,0.0202,0.0233,0.0245,0.8133,0.0945,0.1846,0.0021,0.4223,21720,0.1114,0.1658,0.1464,0.4684,0.2623,0.2146,2.53,0.2091,0.0625,558,0.1794,135400,0.0089,0.1832,0.0788,0.0239
47157022500,2013,4859,1605,0.1957,0.5166,32.1,0.7823,0,0,0.1953,0.3115,0.2704,0.1809,0.0405,0.291,22486,0.1517,0.1687,0.1236,0.5664,0.1955,0.2891,3.03,0.1744,0.0517,822,0.2866,115800,0.0755,0.1824,0.2122,0.0006
47021070202,2013,4864,1658,0.1692,0.47,38.4,0.0138,0.0047,0.006,0.0167,0.8881,0.0808,0.2093,0.0187,0.2847,20238,0.1188,0.1183,0.1481,0.4177,0.1432,0.187,2.93,0.1881,0.0042,957,0.1966,132200,0.0071,0.1538,0.1436,0
47063101100,2013,4864,1880,0.2155,0.5343,42.7,0,0,0.0025,0.0099,0.9115,0.0532,0.1138,0.0117,0.4388,21873,0.0556,0.1854,0.0913,0.4776,0.13,0.1479,2.59,0.0689,0.0064,747,0.0606,139800,0.0031,0.0641,0.118,0
47157020101,2013,4864,1521,0.234,0.5563,26.4,0.6445,0,0.0088,0.0062,0.2009,0.2452,0.1702,0.0421,0.3557,18034,0.1564,0.2579,0.1087,0.5627,0.1531,0.4142,3.15,0.0089,0.096,826,0.3675,109300,0.0064,0.398,0.136,0.016
47167040601,2013,4876,1732,0.1975,0.5221,37.4,0.4147,0,0,0.0084,0.5061,0.2067,0.2255,0.0231,0.3383,20825,0.1463,0.227,0.1071,0.4776,0.0846,0.239,2.74,0.1364,0.0716,761,0.2558,108500,0,0.239,0.1421,0.0271
