GEOID,Year,Total_Pop, Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47001980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47017980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47029980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47031980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47037980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47037980200,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47065980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47065980200,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47145980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47155980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47157980200,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47157980300,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47161980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47161980200,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980100,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47009980200,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47053980100,2016,21,6,0,0.5714,37.1,0,0,0,0,1,0,0,0,0,,0,0,0,0.5455,0,0,3.5,0,0,-999,0,-999,0,0,0,0
47157980100,2016,65,0,0.2,0.5846,44.5,0.2,0,0,0,0,0,0.4808,0,0,8348,0,1,0,1,0,0,-999,0,0,-999,0,-999,0.1846,0,0.7846,1
47125980100,2016,283,0,0,0.1166,23.4,0.2297,0.0177,0.0671,0.2085,0,0,0,0,0,25790,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0,0,1
47157980400,2016,494,0,0,0.1498,28.9,0.8603,0,0,0.0668,0,0,0.4496,0,0,4765,0,0,0,0,0,0,-999,0,0,-999,0,-999,0,0.0081,0,1
47025970400,2016,646,289,0.2833,0.5495,50,0,0,0,0,0.9545,0.1246,0.4041,0.0104,0.5017,16167,0.2077,0.0305,0.4024,0.372,0.221,0.1211,2.24,0.3208,0.0692,-999,0.1799,53300,0.1687,0,0.3529,0
47157004500,2016,647,230,0.1638,0.5224,24.9,0.9274,0,0,0,0.1322,0.3652,0.2163,0,0.2522,10070,0.1707,0.1723,0.1471,0.4874,0.3391,0.7478,2.64,0,0.3261,750,0.4478,65000,0.1298,0,0.5815,0.0618
47113001100,2016,872,356,0.1433,0.4427,27.6,0.9954,0,0,0,0,0.3427,0.1533,0,0.3483,13383,0.3453,0.2476,0,0.3666,0.272,0.6067,2.45,0,0.3539,494,0.3708,45300,0.2661,0,0.4014,0
47157000200,2016,893,354,0.1523,0.5465,30,0.9698,0.0123,0,0,0.1349,0.4887,0.2937,0,0.291,9578,0.3208,0.3034,0.0448,0.6621,0.2304,0.8277,2.52,0,0.3616,742,0.5537,23200,0.1881,0,0.5342,0
47065010902,2016,908,397,0.2181,0.4824,44.1,0,0,0,0,0.5276,0.1486,0.0684,0.0428,0.2972,27253,0.1031,0.15,0,0.4975,0.0525,0.2746,2.29,0.0477,0.1209,600,0.2846,178900,0.2214,0,0.3062,0
47037016000,2016,910,410,0.1352,0.5385,33.5,0.7484,0,0.0187,0.011,0.3554,0.2561,0.2323,0,0.1634,18618,0.1134,0.1659,0.0664,0.4716,0.1295,0.7585,2.17,0.0149,0.2512,755,0.2488,112200,0.2206,0,0.3549,0.0209
