,GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
61088,47145030700,Tennessee,Roane ,2019,3471,1508,0.2702,0.4592,47.5,0.0366,0,0.0,0.0377,0.7092,0.2908,0.0544,0.4373,0.1351,0.0265,0.5245,29812.0,0.0536,0.2538,0.0,0.2387,2.3,0.1019,0.0756,0.1333,0.1101,0.0,0.2152,0.2115,0.2038,701,119100,0.49791270555848155,0.26725108935852604,1.2573835836404292,-0.04709461923025377,-0.06535291407659609,-0.914274434133624
61089,47145030800,Tennessee,Roane ,2019,5442,2221,0.2245,0.5263,34.6,0.0469,0.0121,0.0042,0.0042,0.6715,0.3285,0.0842,0.513,0.0675,0.036,0.3449,26165.0,0.1252,0.1855,0.0405,0.4453,2.38,0.074,0.158,0.1706,0.0949,0.002,0.2154,0.206,0.1861,590,106700,-0.9528470418856294,0.641537324034858,-0.20687319431687265,-1.049982505057344,0.0920871022440903,-0.4296157687903611
61090,47145030900,Tennessee,Roane ,2019,6469,2443,0.254,0.5013,45.9,0.0,0,0.0026,0.0102,0.7719,0.2281,0.0905,0.5417,0.1395,0.0458,0.5047,26872.0,0.0603,0.1827,0.0,0.1813,2.65,0.2607,0.0119,0.1433,0.0842,0.0,0.201,0.1974,0.1203,600,162400,0.9014045193090923,-0.5007109419407657,0.8276321303383468,-0.44072434405733124,0.7133627788405005,0.301844896128342
61092,47147080101,Tennessee,Robertson ,2019,4433,1545,0.2087,0.5339,35.7,0.0458,0.0016,0.0,0.0214,0.7808,0.2192,0.1405,0.5218,0.0936,0.0621,0.3223,30881.0,0.0509,0.2051,0.0279,0.2272,2.87,0.1327,0.0104,0.112,0.0633,0.0081,0.0733,0.1546,0.0682,1000,216200,-0.7604271816140796,-0.8905832432699304,-0.5842749709045766,-0.6099015447971258,0.7126205081610245,0.6117120691965284
61093,47147080103,Tennessee,Robertson ,2019,6243,2401,0.1877,0.5111,36.1,0.0251,0.001,0.0139,0.053,0.7262,0.2738,0.1458,0.5158,0.0885,0.035,0.2491,36259.0,0.0314,0.1229,0.0136,0.2457,2.6,0.0459,0.0,0.1345,0.0359,0.0014,0.0788,0.14,0.0252,1034,193400,-1.7578483054132095,-1.0306441381825622,-1.071076061174488,-0.555209132190205,0.3075000824933414,0.5915809436407048
61094,47147080104,Tennessee,Robertson ,2019,7691,2794,0.1862,0.5055,42.0,0.0191,0.0056,0.0005,0.0095,0.7516,0.2484,0.0755,0.4596,0.098,0.0344,0.3189,29500.0,0.0771,0.1625,0.0044,0.1575,2.75,0.1547,0.01,0.1263,0.0835,0.0001,0.1054,0.1426,0.0329,878,229300,-1.5401870245935858,-0.809945111458939,-0.5437962631111977,-0.6173940273407146,0.5203777864083973,-0.08942940909113198
61095,47147080200,Tennessee,Robertson ,2019,6196,2168,0.2189,0.5257,41.6,0.0323,0.0003,0.0016,0.0597,0.7075,0.2925,0.1485,0.4379,0.1237,0.0332,0.3506,26833.0,0.0677,0.1212,0.0603,0.2482,2.85,0.2288,0.0014,0.1361,0.0764,0.0005,0.0947,0.1479,0.1387,934,195600,-1.072359524493878,-0.7054782719173905,-0.3117807269358576,-0.5423110984361488,0.9740674713555383,-0.48685689856001935
61096,47147080301,Tennessee,Robertson ,2019,2589,972,0.202,0.5079,34.9,0.1931,0.0104,0.0015,0.2881,0.7048,0.2952,0.2109,0.4615,0.2165,0.0134,0.2942,21357.0,0.0573,0.1413,0.0034,0.3807,2.66,0.0428,0.1368,0.2479,0.1889,0.1454,0.2273,0.1151,0.0545,803,142100,2.813176477936608,-0.06956110700539278,-0.2067933298674447,2.6476026758697793,0.22022908609165398,0.22169915284801217
61097,47147080302,Tennessee,Robertson ,2019,2870,1157,0.1631,0.5568,33.3,0.2753,0.0091,0.0,0.108,0.5866,0.4134,0.2169,0.5523,0.1831,0.0233,0.2723,20757.0,0.0626,0.1938,0.0148,0.6016,2.43,0.0169,0.1703,0.2558,0.1207,0.0248,0.2352,0.2224,0.1493,737,162500,1.2497700405105467,0.7272374812484135,-0.6691190242685546,0.033765335704961874,0.4518776144040157,0.7060086334217105
61098,47147080401,Tennessee,Robertson ,2019,5119,1681,0.193,0.4817,34.2,0.3108,0,0.0,0.1492,0.5258,0.4742,0.2261,0.4677,0.2109,0.0333,0.2546,23883.0,0.0797,0.2027,0.0201,0.5544,2.6,0.0541,0.0488,0.2945,0.1905,0.0861,0.2583,0.1744,0.0904,985,127200,1.1988047558345962,0.5836185148975559,-0.6735039887319316,1.1968479573682138,0.3915449061003157,-0.2997026337995576
61099,47147080402,Tennessee,Robertson ,2019,4634,1820,0.2456,0.5043,36.5,0.1116,0,0.0319,0.1795,0.6909,0.3091,0.106,0.4252,0.1882,0.0198,0.3621,22535.0,0.0658,0.1882,0.0308,0.4148,2.47,0.0265,0.078,0.1473,0.1236,0.107,0.1858,0.1374,0.0905,735,167100,1.3755218460235241,-0.13263091662119805,0.24695037037746176,1.755692664820337,-0.06513959640613103,-0.4293506761469456
61100,47147080500,Tennessee,Robertson ,2019,4787,1763,0.2056,0.4899,38.1,0.0645,0.0025,0.0,0.1139,0.8971,0.1029,0.0845,0.4744,0.0918,0.0233,0.2938,31411.0,0.0322,0.169,0.0106,0.0851,2.71,0.0498,0.0193,0.0822,0.0668,0.033,0.0399,0.1253,0.0557,1184,186300,-1.0692438329537084,-1.2787062417728856,-0.6175949547152174,0.2575788481047026,0.44739495451837125,0.12208356091132073
61101,47147080603,Tennessee,Robertson ,2019,4681,1620,0.2523,0.5219,43.8,0.0077,0.0011,0.0092,0.066,0.7745,0.2255,0.0895,0.4732,0.1501,0.0512,0.3889,29034.0,0.0315,0.1576,0.0,0.1901,2.89,0.1167,0.0142,0.1623,0.0679,0.0219,0.1378,0.125,0.0868,1007,237900,0.3702073029779714,-0.7513237024195112,0.41944923928846767,0.23437215686907542,0.08596624230400167,0.3817433669359378
61102,47147080604,Tennessee,Robertson ,2019,3924,1448,0.212,0.5079,39.9,0.0125,0,0.0056,0.0499,0.7199,0.2801,0.0773,0.4494,0.0605,0.0642,0.3142,41640.0,0.0076,0.1753,0.0105,0.125,2.68,0.0206,0.0173,0.0642,0.0837,0.0081,0.0371,0.131,0.0062,1056,248900,-1.5558797198241168,-1.1693884544068434,-0.3505977908800014,-0.12016634858370648,-0.1446010581054256,0.22887393215186014
61103,47147080605,Tennessee,Robertson ,2019,3210,1128,0.2075,0.5062,35.3,0.0218,0,0.0178,0.0299,0.701,0.299,0.1179,0.4694,0.118,0.0106,0.3706,23700.0,0.0083,0.1088,0.0,0.1534,2.85,0.0629,0.0434,0.1285,0.0467,0.0107,0.0942,0.1798,0.0,871,178400,-0.8367261058577526,-1.0133234540243363,-0.5272471561442713,-0.26450550447932136,0.5304779071240611,0.4378721016661153
61104,47147080606,Tennessee,Robertson ,2019,5855,2344,0.2179,0.5067,39.7,0.0518,0.002,0.0007,0.0352,0.6257,0.3743,0.1749,0.4501,0.1326,0.0213,0.3498,28690.0,0.0638,0.107,0.0231,0.285,2.5,0.1136,0.0469,0.1758,0.0745,0.0042,0.0999,0.1664,0.0135,872,187800,-0.7607352454762629,-0.5083812944128776,-0.3789497225285627,-0.45836867800477393,0.5152724885832951,0.06969196088665632
61105,47147080700,Tennessee,Robertson ,2019,8048,2872,0.2076,0.4648,45.0,0.0296,0.0065,0.0015,0.0,0.8189,0.1811,0.0669,0.44,0.1252,0.0811,0.3109,35200.0,0.0353,0.112,0.0445,0.1877,2.8,0.1268,0.0122,0.0588,0.0704,0.0,0.0849,0.1686,0.0261,1085,227300,-2.952669484712108,-0.877707260256718,-0.41918945600770224,-0.8518041073853703,0.26856224204801976,-1.0725309031103372
61106,47149040101,Tennessee,Rutherford ,2019,3630,1039,0.195,0.5006,29.2,0.1168,0,0.092,0.4077,0.4199,0.5801,0.2348,0.4819,0.134,0.0298,0.204,26746.0,0.0046,0.1824,0.0,0.2945,3.48,0.2959,0.0173,0.1636,0.1258,0.1324,0.0843,0.081,0.0511,1295,151100,2.1242448016090294,-1.170113613715438,-0.8663824304917895,3.3294146826149906,0.30592139165896,0.5254047715423064
61107,47149040102,Tennessee,Rutherford ,2019,3987,1189,0.1249,0.4783,33.6,0.2664,0,0.0193,0.1951,0.8804,0.1196,0.1177,0.4504,0.1049,0.0093,0.1876,23349.0,0.0566,0.1537,0.0,0.1892,3.35,0.0146,0.0278,0.1472,0.1711,0.0721,0.0883,0.1013,0.0333,1670,159500,-1.0397487589597492,-0.9130621539263477,-1.5859030934177123,1.2892723092517575,0.4188015073350279,-0.24885732820247472
61108,47149040103,Tennessee,Rutherford ,2019,8095,2395,0.1174,0.5014,30.0,0.2936,0.01,0.0453,0.1391,0.7397,0.2603,0.1319,0.4601,0.1163,0.0985,0.1566,26611.0,0.0466,0.1836,0.0076,0.372,3.38,0.0806,0.0121,0.1332,0.123,0.0583,0.0701,0.1114,0.0764,1453,154300,-2.1289522460239705,-0.5585004104983425,-1.7637450398165229,0.651596723047841,-0.06957410156160174,-0.38872941719534426
61109,47149040104,Tennessee,Rutherford ,2019,5825,1856,0.1389,0.4949,30.0,0.2918,0,0.0203,0.2053,0.6238,0.3762,0.2381,0.48,0.1476,0.0156,0.215,18929.0,0.0452,0.2218,0.0,0.4063,3.14,0.0269,0.0291,0.2328,0.2041,0.1368,0.1241,0.1387,0.0,1143,141800,1.5804874955635757,-0.47167034518568185,-1.3317641580177444,2.193108300798728,0.6400940710362986,0.5507196269319753
61110,47149040105,Tennessee,Rutherford ,2019,4201,1370,0.1102,0.5082,31.6,0.1431,0,0.0,0.2502,0.5703,0.4297,0.2073,0.4713,0.1251,0.0051,0.1277,23384.0,0.0528,0.1154,0.022,0.3226,3.07,0.0745,0.0088,0.1131,0.159,0.1283,0.169,0.0914,0.0724,977,135700,-0.06692705069908304,-0.9855758025900946,-1.9330293254326028,1.6747813530551106,1.0534335153245469,0.12346320894395675
61111,47149040200,Tennessee,Rutherford ,2019,4048,1290,0.1831,0.5203,30.9,0.1611,0.0133,0.0099,0.1089,0.8516,0.1484,0.107,0.4618,0.1291,0.0302,0.2,26644.0,0.016,0.1348,0.0139,0.2488,3.14,0.0905,0.0264,0.1465,0.1277,0.0401,0.0993,0.1324,0.043,889,164700,-1.0596065153441097,-1.0020767837717912,-1.252413784894266,0.4982850096116084,0.5971053475692853,0.0994936961410536
61112,47149040302,Tennessee,Rutherford ,2019,9251,3265,0.1525,0.5096,38.6,0.0534,0.0023,0.029,0.0709,0.7179,0.2821,0.0959,0.4525,0.0652,0.0138,0.2352,29110.0,0.0311,0.113,0.0,0.158,2.83,0.0183,0.0034,0.075,0.0498,0.0613,0.0468,0.148,0.052,1171,170500,-1.7142392646902844,-1.2248733155791822,-1.0176294300934523,0.197740393165622,0.1598290091065939,0.17069407871013462
